HVP-6.0-SP2p41.1-2199-39494
Interactive Services
AdministrationReportsConfigurationuser: rcronqui@west.com Logout
Customer Usage
Call
Call ID:	e4008-20180619185905186-962
Application Name:	SamsRefillReminderDev
Application Description:	SamsRefillReminderDev
CLID:	9990004328175470041
DNIS:	7513123017
Call Date:	Tuesday, June 19th 2018
Call Utterance:	not available
Event Search
Event ID:	  
Parameter:	
 
Events
Time	ID	Param ID	Utterance
18:59:05	call start	ANI=9990004328175470041|DNIS=7513123017|VURL=http://10.27.120.20:80/vxml/docs/44452542501.vdoc|outbound=Y	-
18:59:05	document dump	URL=/opt/holly/client/data/dnis/all.js|fetchtype=script|mimetype=test/javascript	-
18:59:05	fetch	uri=http://10.27.120.20:80/vxml/docs/44452542501.vdoc|fetchtype=vxml|mimetype=text/plain|incache=false|latency=0.004|documentsize=6899|outcome=success|failover=false|localport=41518|hostname=10.27.120.20|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=49|bytesread=7249|byteswritten=188|cachedecision=nc(no-cache)|method=GET	-
18:59:05	document dump	URL=http://10.27.120.20:80/vxml/docs/44452542501.vdoc|fetchtype=vxml|mimetype=text/plain	-
18:59:05	fetch	uri=http://10.27.122.135:5959/vxml/appHolly.vxml|fetchtype=vxml|mimetype=application/voicexml+xml|incache=false|latency=0.009|documentsize=4221|outcome=success|failover=false|localport=43372|hostname=10.27.122.135|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=44|bytesread=4505|byteswritten=240|cachedecision=ca(vxml maxage)(Last Modified)|method=GET	-
18:59:05	document dump	URL=http://10.27.122.135:5959/vxml/appHolly.vxml|fetchtype=vxml|mimetype=application/voicexml+xml	-
18:59:05	placecall start	remote=sip:9990004328175470041@10.27.219.50:5060;req=44452542501-1;APN=7513123017|local=7513123017<sip:8175470223@10.27.219.50:5060>|application=7513123017	-
18:59:11	placecall end	result=success	-
18:59:11	sip session	callid=5ec88d06-1dab-42ed-bc35-192f7de1168b@10.27.128.109|remote-rtp=10.27.219.10:28128|local-rtp=10.27.128.109:14868|originator=LOCAL	-
18:59:11	asr session	asrengine=dtmf|sessionid=dtmf:linux6425:wichllyp:969|setuptime=0.000	-
18:59:11	log	label=messageid|expr=5A74EB0E275044A1B17A74ED0D663858	-
18:59:11	fetch	uri=http://linux2441.wic.west.com/vxml/samsclub/refillreminder/index.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.009|documentsize=11323|outcome=success|failover=false|localport=57962|hostname=linux2441.wic.west.com|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=68|bytesread=11682|byteswritten=1194|cachedecision=n/a|method=POST	-
18:59:11	document dump	URL=http://linux2441.wic.west.com/vxml/samsclub/refillreminder/index.php|fetchtype=vxml|mimetype=text/html	-
18:59:11	fetch	uri=http://linux2441.wic.west.com/vxml/samsclub/refillreminder/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.014|documentsize=16880|outcome=success|failover=false|localport=57964|hostname=linux2441.wic.west.com|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=76|bytesread=17181|byteswritten=317|cachedecision=nc(pragma no-cache)|method=GET	-
18:59:11	document dump	URL=http://linux2441.wic.west.com/vxml/samsclub/refillreminder/dev/root.vxml.php|fetchtype=vxml|mimetype=text/html	-
18:59:11	document dump	URL=/opt/holly/client/data/dnis/all.js|fetchtype=script|mimetype=test/javascript	-
18:59:11	log	content=PRE Sonus ANI: 9990004328175470041	-
18:59:11	log	content=POST Sonus ANI: 8175470041	-
